ticket_id,customer_id,ticket_date,issue_category,priority,resolution_time_hours,satisfaction_score,resolved
TK001,C004,2023-03-18,Billing,High,48,2,1
TK002,C004,2023-03-25,Product Quality,Medium,72,1,1
TK003,C006,2023-04-12,Shipping,High,36,2,1
TK004,C006,2023-04-20,Billing,High,96,1,1
TK005,C009,2023-03-25,Product Quality,High,48,2,1
TK006,C009,2023-04-02,Refund Request,High,72,1,1
TK007,C012,2023-05-01,Shipping,Medium,24,3,1
TK008,C012,2023-05-15,Technical Issue,High,48,2,1
TK009,C014,2023-07-15,Billing,High,36,2,1
TK010,C014,2023-07-28,Account Access,High,72,1,1
TK011,C016,2023-04-02,Product Quality,High,48,2,1
TK012,C016,2023-04-10,Refund Request,High,96,1,1
TK013,C019,2023-06-28,Shipping,High,36,2,1
TK014,C019,2023-07-05,Billing,High,72,1,1
TK015,C022,2023-09-12,Product Quality,High,48,2,1
TK016,C022,2023-09-20,Technical Issue,High,96,1,1
TK017,C024,2023-03-25,Billing,High,36,2,1
TK018,C024,2023-04-02,Refund Request,High,72,1,1
TK019,C026,2023-02-15,Shipping,High,48,2,1
TK020,C026,2023-02-25,Product Quality,High,96,1,1
TK021,C029,2023-04-28,Account Access,High,36,2,1
TK022,C029,2023-05-05,Billing,High,72,1,1
TK023,C032,2023-11-15,Technical Issue,High,48,2,1
TK024,C032,2023-11-22,Refund Request,High,96,1,1
TK025,C034,2023-06-02,Shipping,High,36,2,1
TK026,C034,2023-06-10,Product Quality,High,72,1,1
TK027,C036,2023-09-28,Billing,High,48,2,1
TK028,C036,2023-10-05,Account Access,High,96,1,1
TK029,C039,2023-08-20,Technical Issue,High,36,2,1
TK030,C039,2023-08-28,Refund Request,High,72,1,1
TK031,C042,2023-10-28,Shipping,High,48,2,1
TK032,C042,2023-11-05,Product Quality,High,96,1,1
TK033,C044,2023-08-12,Billing,High,36,2,1
TK034,C044,2023-08-20,Technical Issue,High,72,1,1
TK035,C046,2023-03-20,Refund Request,High,48,2,1
TK036,C046,2023-03-28,Shipping,High,96,1,1
TK037,C049,2023-02-28,Product Quality,High,36,2,1
TK038,C049,2023-03-08,Account Access,High,72,1,1
TK039,C052,2023-05-05,Billing,High,48,2,1
TK040,C052,2023-05-12,Technical Issue,High,96,1,1
TK041,C054,2023-10-18,Refund Request,High,36,2,1
TK042,C054,2023-10-25,Shipping,High,72,1,1
TK043,C056,2023-07-28,Product Quality,High,48,2,1
TK044,C056,2023-08-05,Billing,High,96,1,1
TK045,C059,2023-11-20,Account Access,High,36,2,1
TK046,C059,2023-11-28,Technical Issue,High,72,1,1
TK047,C062,2023-08-15,Refund Request,High,48,2,1
TK048,C062,2023-08-22,Shipping,High,96,1,1
TK049,C064,2023-05-15,Product Quality,High,36,2,1
TK050,C064,2023-05-22,Billing,High,72,1,1
TK051,C066,2023-11-02,Account Access,High,48,2,1
TK052,C066,2023-11-10,Technical Issue,High,96,1,1
TK053,C069,2023-05-22,Refund Request,High,36,2,1
TK054,C069,2023-05-30,Shipping,High,72,1,1
TK055,C072,2023-10-02,Product Quality,High,48,2,1
TK056,C072,2023-10-10,Billing,High,96,1,1
TK057,C074,2023-08-25,Account Access,High,36,2,1
TK058,C074,2023-09-02,Technical Issue,High,72,1,1
TK059,C076,2023-04-28,Refund Request,High,48,2,1
TK060,C076,2023-05-05,Shipping,High,96,1,1
TK061,C079,2023-02-02,Product Quality,High,36,2,1
TK062,C079,2023-02-10,Billing,High,72,1,1
TK063,C082,2023-03-12,Account Access,High,48,2,1
TK064,C082,2023-03-20,Technical Issue,High,96,1,1
TK065,C084,2023-09-18,Refund Request,High,36,2,1
TK066,C084,2023-09-25,Shipping,High,72,1,1
TK067,C086,2023-09-05,Product Quality,High,48,2,1
TK068,C086,2023-09-12,Billing,High,96,1,1
TK069,C089,2023-12-28,Account Access,High,36,2,1
TK070,C092,2023-07-12,Technical Issue,High,48,2,1
TK071,C092,2023-07-20,Refund Request,High,96,1,1
TK072,C094,2023-03-25,Shipping,High,36,2,1
TK073,C094,2023-04-02,Product Quality,High,72,1,1
TK074,C096,2023-10-15,Billing,High,48,2,1
TK075,C096,2023-10-22,Account Access,High,96,1,1
TK076,C099,2023-06-28,Technical Issue,High,36,2,1
TK077,C099,2023-07-05,Refund Request,High,72,1,1
TK078,C102,2023-08-05,Shipping,High,48,2,1
TK079,C102,2023-08-12,Product Quality,High,96,1,1
TK080,C106,2023-10-05,Billing,High,36,2,1
TK081,C106,2023-10-12,Account Access,High,72,1,1
TK082,C109,2023-07-02,Technical Issue,High,48,2,1
TK083,C109,2023-07-10,Refund Request,High,96,1,1
TK084,C112,2023-10-30,Shipping,High,36,2,1
TK085,C112,2023-11-08,Product Quality,High,72,1,1
TK086,C116,2023-03-28,Billing,High,48,2,1
TK087,C116,2023-04-05,Account Access,High,96,1,1
TK088,C119,2023-02-15,Technical Issue,High,36,2,1
TK089,C119,2023-02-22,Refund Request,High,72,1,1
TK090,C122,2023-11-08,Shipping,High,48,2,1
TK091,C122,2023-11-15,Product Quality,High,96,1,1
TK092,C126,2023-07-28,Billing,High,36,2,1
TK093,C126,2023-08-05,Account Access,High,72,1,1
TK094,C129,2023-11-22,Technical Issue,High,48,2,1
TK095,C129,2023-11-30,Refund Request,High,96,1,1
TK096,C132,2023-08-25,Shipping,High,36,2,1
TK097,C132,2023-09-02,Product Quality,High,72,1,1
TK098,C136,2023-10-30,Billing,High,48,2,1
TK099,C136,2023-11-08,Account Access,High,96,1,1
TK100,C139,2023-05-20,Technical Issue,High,36,2,1
TK101,C139,2023-05-28,Refund Request,High,72,1,1
TK102,C142,2023-09-30,Shipping,High,48,2,1
TK103,C142,2023-10-08,Product Quality,High,96,1,1
TK104,C146,2023-04-30,Billing,High,36,2,1
TK105,C146,2023-05-08,Account Access,High,72,1,1
TK106,C149,2023-02-05,Technical Issue,High,48,2,1
TK107,C149,2023-02-12,Refund Request,High,96,1,1
TK108,C152,2023-03-28,Shipping,High,36,2,1
TK109,C152,2023-04-05,Product Quality,High,72,1,1
TK110,C156,2023-08-28,Billing,High,48,2,1
TK111,C156,2023-09-05,Account Access,High,96,1,1
TK112,C159,2023-12-22,Technical Issue,High,36,2,1
TK113,C162,2023-07-15,Refund Request,High,48,2,1
TK114,C162,2023-07-22,Shipping,High,96,1,1
TK115,C166,2023-10-05,Product Quality,High,36,2,1
TK116,C166,2023-10-12,Billing,High,72,1,1
TK117,C169,2023-06-25,Account Access,High,48,2,1
