request_id,citizen_id,submission_date,request_type,department,priority_level,location_district,response_time_hours,citizen_satisfaction,resolved
REQ000001,CIT00182,2024-02-19,Parking Issue,Transportation,Medium,Lakewood,97.9,2.6,True
REQ000002,CIT00240,2024-08-04,Property Assessment,Building & Safety,High,Southside,25.2,3.5,False
REQ000003,CIT00032,2024-01-28,Water Main Break,Utilities,Critical,Southside,2.6,4.8,True
REQ000004,CIT00056,2024-07-25,Sidewalk Repair,Public Works,High,Industrial,43.9,3.3,True
REQ000005,CIT00098,2024-05-07,Street Light Outage,Public Works,High,Downtown,26.7,3.9,True
REQ000006,CIT00072,2024-10-01,Property Assessment,Building & Safety,Low,Midtown,324.7,2.6,False
REQ000007,CIT00143,2024-08-04,Crosswalk Request,Transportation,Low,Downtown,228.1,3.3,True
REQ000008,CIT00039,2024-08-24,Street Light Outage,Public Works,Medium,Eastgate,69.3,3.7,True
REQ000009,CIT00051,2024-08-14,Composting Program,Environmental Services,Critical,Eastgate,11.1,1.5,True
REQ000010,CIT00008,2024-01-26,Tree Trimming,Parks & Recreation,Medium,Harbor,101.3,3.1,True
REQ000011,CIT00086,2024-02-17,Property Violation,Code Enforcement,Medium,Eastgate,90.2,3.1,True
REQ000012,CIT00247,2024-07-27,Meter Reading,Utilities,Low,Lakewood,297.7,3.3,True
REQ000013,CIT00031,2024-04-19,Parking Issue,Transportation,Low,Industrial,205.2,3.8,True
REQ000014,CIT00002,2024-03-25,Meter Reading,Utilities,Low,Lakewood,188.6,3.5,True
REQ000015,CIT00233,2024-07-18,Sidewalk Repair,Public Works,Low,Lakewood,133.5,4.8,True
REQ000016,CIT00285,2024-05-26,Facility Booking,Parks & Recreation,High,Southside,17.4,4.3,False
REQ000017,CIT00080,2024-12-04,Property Assessment,Building & Safety,High,Midtown,27.6,4.4,True
REQ000018,CIT00112,2024-04-07,Permit Inspection,Permits & Licensing,Low,Lakewood,226.7,3.9,True
REQ000019,CIT00278,2024-01-30,Composting Program,Environmental Services,Low,Northside,274.0,3.2,False
REQ000020,CIT00030,2024-02-01,Illegal Dumping,Environmental Services,Critical,Lakewood,5.0,3.6,True
REQ000021,CIT00245,2024-01-26,Service Connection,Utilities,Low,Southside,375.7,1.6,True
REQ000022,CIT00081,2024-09-14,Tree Trimming,Parks & Recreation,Medium,Southside,63.7,3.9,False
REQ000023,CIT00042,2024-01-30,Graffiti Removal,Code Enforcement,Low,Highland,222.0,4.4,True
